Course Code,Course Name,Department,Credit,Total Credits,Faculty,Approved Time Slot
CH 201,Engineering Mathematics,Chemical Engineering,3:0,3.0,Prabhu R Nott & Ananth Govind Rajan,"Mon, Wed 14:30-16:00"
CH 202,Numerical Methods,Chemical Engineering,3:0,3.0,Debashis Roy & Bhushan J Toley,"Mon, Wed, Fri 11:00-12:00"
CH 203,Transport Processes,Chemical Engineering,3:0,3.0,Kumaran V,"Tue, Thu 11:30-13:00"
CH 204,Thermodynamics,Chemical Engineering,3:0,3.0,Sudeep Neelakantan Punnathanam,"Mon, Wed, Fri 09:00-10:00"
CH 206,Seminar Course,Chemical Engineering,1:0,1.0,Rahul Roy,Fri 14:00-15:00
CH 241,Nanotechnology,Chemical Engineering,3:0,3.0,Venugopal S,"Tue, Thu 08:30-10:00"
CH 242,Special Topics in Theoretical Biology,Chemical Engineering,3:0,3.0,Narendra M Dixit,"Tue, Thu 10:00-11:30"
CH 255,Introduction to Polymer Science,Chemical Engineering,3:0,3.0,Nirmalya Bachhar,"Mon, Wed, Fri 10:00-11:00"
CO 201,The Art of Communications for Leaders,Office of Communications,1:1,2.0,Kaushal Verma,6:00-8:00 PM
CO 204,Science Communication,Office of Communications,2:0,2.0,Kaushal Verma,Wed 11:00-13:00
CO 206,The Yoga Sutras of Well-Being: Ancient Wisdom for,Office of Communications,2:0,2.0,Omkar S N,Fri 15:00-17:00
CO 207,Place of Sport in Society and Culture,Office of Communications,2:0,2.0,Kaushal Verma,Thu 15:00-17:00
CO 302,Introduction to History and Philosophy of Computing,Office of Communications,2:0,2.0,Sanjit Chatterjee,Fri 15:30-17:30
CP 322,Robot Manipulation,Cyber Physical Systems,2:1,3.0,Ravi Prakash,"Tue, Thu 11:30-13:00"
CY 215,Advanced Laboratory - 1,Chemical Science,0:3,3.0,Abhishake Mondal & Partha Sarathi Mukherjee,"Mon, Wed, Fri 14:00-15:00 & Mon, Tue, Wed, Thu 14:00-17:00"
DA 206o,Foundations of AI,Data Science & Business Analytics Stream,3:1,4.0,Sundeep Prabhakar Chepuri,"Tue, Thu 16:00-17:30"
DA 227o,Data Mining,Data Science & Business Analytics Stream,3:1,4.0,Parthasarathy Ramachandran,"Mon, Wed 16:00-17:30"
